grammar_point;meaning;level;lesson_number;lesson_title;bunpro_url
～ている ③;Has/have done, Is ~ing (Repetition);N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B3
～て (Adjectives and Nouns);And... (Conjunctive);N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/adjective-%E3%81%A6-noun-%E3%81%A7
～て (Qualities and States);And..., Both and (Conjunctive);N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/adjective-%E3%81%A6-b
のが下手（へた）;To be bad at, Poor at, Unskillful;N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%8C%E3%81%B8%E3%81%9F
のが上手（じょうず）;To be good at, Proficient;N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%8C%E3%81%98%E3%82%87%E3%81%86%E3%81%9A
(Adjective) + のは;The 'one' that... (Indefinite pronoun, Adjective nominalization);N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/adjective-%E3%81%AE-%E3%81%AF
あげる;To give (away), To present, To provide;N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/%E3%81%82%E3%81%92%E3%82%8B
くれる;To give (me), To be given;N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/%E3%81%8F%E3%82%8C%E3%82%8B
貰（もら）う;To receive, To get, To obtain;N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/%E3%82%82%E3%82%89%E3%81%86
けれども;But, Although;N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/%E3%81%91%E3%82%8C%E3%81%A9%E3%82%82
つもりだ;To plan to, To intend to;N5;10;Giving, Receiving, and Describing Experiences;https://bunpro.jp/grammar_points/%E3%81%A4%E3%82%82%E3%82%8A%E3%81%A0
